title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
Bootstrapping Trust with Partial and Subjective Observability,"Taylor, Phillip; Griffiths, Nathan; Barakat, Lina; Miles, Simon",,,,,AAMAS'17: PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS,article,Trust and reputation; Stereotypes; Machine learning,,,,
Asthma phenotypes in childhood,"Deliu, Matea; Belgrave, Danielle; Sperrin, Matthew; Buchan, Iain; Custovic, Adnan",,,,,EXPERT REVIEW OF CLINICAL IMMUNOLOGY,article,Asthma phenotypes; data-driven methods; endotype; machine learning,,,,
Exploring Neuromarketing and Its Reliance on Remote Sensing: Social and Ethical Concerns,"Nemorin, Selena; Gandy, Oscar H., Jr.",,,,,INTERNATIONAL JOURNAL OF COMMUNICATION,article,neuromarketing; remote sensing; ethics; privacy and surveillance; discrimination; inferential statistics; technology assessment,,,,
Neural Networks for Information Retrieval,"Kenter, Tom; Borisov, Alexey; Van Gysel, Christophe; Dehghani, Mostafa; de Rijke, Maarten; Mitra, Bhaskar",,,,,SIGIR'17: PROCEEDINGS OF THE 40TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL,article,,,,,
Insider Threat Detection Using Principal Component Analysis and Self-Organising Map,"Moradpoor, Naghmeh; Brown, Martyn; Russell, Gordon",,,,,SIN'17: PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON SECURITY OF INFORMATION AND NETWORKS,article,Insider Threat; Unsupervised Machine Learning; Self-Organising Map; Principal Component Analysis,,,,
WSDM 2017 Workshop on Mining Online Health Reports WSDM Workshop Summary,"Collier, Nigel; Limsopatham, Nut; Culotta, Aron; Conway, Mike; Cox, Ingemar J.; Lampos, Vasileios",,,,,WSDM'17: PROCEEDINGS OF THE TENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING,article,Natural Language Processing; Machine Learning; Computational Health; User-Generated Content,,,,
ETHICAL CONCERNS OF SURVIVING VIA AND FROM ROBOTS: CYBORGS AND EXPIRY DATES,"Kyriakidou, Marilena",,,,,ADVANCES IN COOPERATIVE ROBOTICS,article,,,,,
What is data ethics?,"Floridi, Luciano; Taddeo, Mariarosaria",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,data ethics; data science; ethics of data; ethics of algorithms; ethics of practices; levels of abstraction,,,,
Locating ethics in data science: responsibility and accountability in global and distributed knowledge production systems,"Leonelli, Sabina",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,big data; epistemology; knowledge production; ethics; science policy; research governance,,,,
Compelling truth: legal protection of the infosphere against big data spills,"Schafer, Burkhard",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,data breach notification; copyright; totality operators; big data,,,,
The opportunities and ethics of big data: practical priorities for a national Council of Data Ethics,"Varley-Winter, Olivia; Shah, Hetan",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,data science; statistics; research ethics; public policy,,,,
The dynamics of big data and human rights: the case of scientific research,"Vayena, Effy; Tasioulas, John",,,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,article,data ethics; big data; human right to privacy; human right to science,,,,
Reports of the AAAI 2016 Spring Symposium Series,"Amato, Christopher; Amir, Ofra; Bryson, Joanna; Grosz, Barbara; Indurkhya, Bipin; Kiciman, Emre; Kido, Takashi; Lawless, W. F.; Liu, Miao; McDorman, Braden; Mead, Ross; Oliehoek, Frans A.; Specian, Andrew; Stojanov, Georgi; Takadama, Keiki",,,,,AI MAGAZINE,article,,,,,
Reports of the Workshops Held at the 2016 International AAAI Conference on Web and Social Media,"An, Jisun; Crandall, David J.; Fedorov, Roman; Fiesler, Casey; Giglietto, Fabio; Heravi, Bahareh; Pater, Jessica; Pelechrinis, Konstantinos; Quercia, Daniele; Weller, Katrin; Zubiaga, Arkaitz",,,,,AI MAGAZINE,article,,,,,
Implications of the Data Revolution for Statistics Education,"Ridgway, Jim",,,,,INTERNATIONAL STATISTICAL REVIEW,article,statistics education; modelling; open data; big data; visualisation; data-driven journalism; curriculum; statistical literacy; change,,,,
Delivering 21st century Antarctic and Southern Ocean science,"Kennicutt, M. C., II; Kim, Y. D.; Rogan-Finnemore, M.; Anandakrishnan, S.; Chown, S. L.; Colwell, S.; Cowan, D.; Escutia, C.; Frenot, Y.; Hall, J.; Liggett, D.; Mcdonald, A. J.; Nixdorf, U.; Siegert, M. J.; Storey, J.; Wahlin, A.; Weatherwax, A.; Wilson, G. S.; Wilson, T.; Wooding, R.; Ackley, S.; Biebow, N.; Blankenship, D.; Bo, S.; Baeseman, J.; Cardenas, C. A.; Cassano, J.; Danhong, C.; Danobeitia, J.; Francis, J.; Guldahl, J.; Hashida, G.; Jimenez Corbalan, L.; Klepikov, A.; Lee, J.; Leppe, M.; Lijun, F.; Lopez-Martinez, J.; Memolli, M.; Motoyoshi, Y.; Mousalle Bueno, R.; Negrete, J.; Ojeda Cardenes, M. A.; Proano Silva, M.; Ramos-Garcia, S.; Sala, H.; Shin, H.; Shijie, X.; Shiraishi, K.; Stockings, T.; Trotter, S.; Vaughan, D. G.; Viera Da Unha De Menezes, J.; Vlasich, V.; Weijia, Q.; Winther, J. -G.; Miller, H.; Rintoul, S.; Yang, H.",,,,,ANTARCTIC SCIENCE,article,access; future directions; infrastructure; logistics; technologies,,,,
The ethics of algorithms: Mapping the debate,"Mittelstadt, Brent Daniel; Allo, Patrick; Taddeo, Mariarosaria; Wachter, Sandra; Floridi, Luciano",,,,,BIG DATA & SOCIETY,article,Algorithms; automation; Big Data; data analytics; data mining; ethics; machine learning,,,,
Clustering VoIP caller for SPIT identification,"Azad, Muhammad Ajmal; Morla, Ricardo; Arshad, Junaid; Salah, Khaled",,,,,SECURITY AND COMMUNICATION NETWORKS,article,SPIT; trust; reputation; VoIP; network operations,,,,
"Introduction to the article collection 'Translation in healthcare: ethical, legal, and social implications'","Morrison, Michael; Dickenson, Donna; Lee, Sandra Soo-Jin",,,,,BMC MEDICAL ETHICS,article,,,,,
Random synaptic feedback weights support error backpropagation for deep learning,"Lillicrap, Timothy P.; Cownden, Daniel; Tweed, Douglas B.; Akerman, Colin J.",,,,,NATURE COMMUNICATIONS,article,,,,,
"It's a long shot, but it just might work! Perspectives on the future of medicine","Wicks, Paul; Hotopf, Matthew; Narayan, Vaibhav A.; Basch, Ethan; Weatherall, James; Gray, Muir",,,,,BMC MEDICINE,article,Patient reported outcomes; Machine learning; Medical informatics; Smartphones; Patient engagement,,,,
"Using Smartphones to Collect Behavioral Data in Psychological Science: Opportunities, Practical Considerations, and Challenges","Harari, Gabriella M.; Lane, Nicholas D.; Wang, Rui; Crosier, Benjamin S.; Campbell, Andrew T.; Gosling, Samuel D.",,,,,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,article,mobile sensing; smartphones; behavior; big data; research design,,,,
Explaining Support Vector Machines: A Color Based Nomogram,"Van Belle, Vanya; Van Calster, Ben; Van Huffel, Sabine; Suykens, Johan A. K.; Lisboa, Paulo",,,,,PLOS ONE,article,,,,,
Causal inference from observational data,"Listl, Stefan; Juerges, Hendrik; Watt, Richard G.",,,,,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,article,causality; economics; epidemiology; health policy; observational study; public health,,,,
Evidence and future potential of mobile phone data for disease disaster management,"Cinnamon, Jonathan; Jones, Sarah K.; Adger, W. Neil",,,,,GEOFORUM,article,Mobile phone; Call detail records; SMS; Disaster; Disease; Big data,,,,
Reduction strategies for hierarchical multi-label classification in protein function prediction,"Cerri, Ricardo; Barros, Rodrigo C.; de Carvalho, Andre C. P. L. F.; Jin, Yaochu",,,,,BMC BIOINFORMATICS,article,Hierarchical multi-label classification; Protein function prediction; Machine learning; Neural networks,,,,
"If you build it, they will come: unintended future uses of organised health data collections","O'Doherty, Kieran C.; Christofides, Emily; Yen, Jeffery; Bentzen, Heidi Beate; Burke, Wylie; Hallowell, Nina; Koenig, Barbara A.; Willison, Donald J.",,,,,BMC MEDICAL ETHICS,article,Health data; Privacy; Secondary uses; Discrimination; Health research; Biobanks; Data sharing; DNA,,,,
Young people's views about the purpose and composition of research ethics committees: findings from the PEARL qualitative study,"Audrey, Suzanne; Brown, Lindsey; Campbell, Rona; Boyd, Andy; Macleod, John",,,,,BMC MEDICAL ETHICS,article,Research ethics committees; Data linkage; Young people; Qualitative research; ALSPAC,,,,
Criteria for new inclusions in the OED - A case study of informatization,"Chen, Guohua; Cheng, Lixia",,,,,ENGLISH TODAY,article,,,,,
Reports of the 2016 AAAI Workshop Program,"Albrecht, Stefano V.; Bouchard, Bruno; Brownstein, John S.; Buckeridge, David L.; Caragea, Cornelia; Carter, Kevin M.; Darwiche, Adnan; Fortuna, Blaz; Francillette, Yannick; Gaboury, Sebastien; Giles, C. Lee; Grobelnik, Marko; Hruschka, Estevam; Kephart, Jeffrey O.; Kordjamshidi, Parisa; Lisy, Viliam; Magazzeni, Daniele; Marques-Silva, Joao; Marquis, Pierre; Martinez, David; Michalowski, Martin; Noorian, Zeinab; Pontelli, Enrico; Rogers, Alex; Rosenthal, Stephanie; Roth, Dan; Sanner, Scott; Shaban-Nejad, Arash; Sinha, Arunesh; Son, Tran Cao; Streilein, William; Thiebaux, Sylvie; Wallace, Byron C.; Walsh, Toby; Witbroc, Michael; Zhang, Jie",,,,,AI MAGAZINE,article,,,,,
"Sexbots: Avoiding Seduction, Danger and Exploitation","Mackenzie, Robin",,,,,IRIDE-FILOSOFIA E DISCUSSIONE PUBBLICA,article,Sexbots; Intimate Relationships; Legal Status of Non-Humans; Moral Standing of Non-Humans; Ethical Responsibility Towards Created Sentient Beings,,,,
Doing social media analytics,"Brooker, Phillip; Barnett, Julie; Cribbin, Timothy",,,,,BIG DATA & SOCIETY,article,Social media; Twitter; analytics; digital social science; data visualisation; methods,,,,
Citizen science or scientific citizenship? Disentangling the uses of public engagement rhetoric in national research initiatives,"Woolley, J. Patrick; McGowan, Michelle L.; Teare, Harriet J. A.; Coathup, Victoria; Fishman, Jennifer R.; Settersten, Richard A., Jr.; Sterckx, Sigrid; Kaye, Jane; Juengst, Eric T.",,,,,BMC MEDICAL ETHICS,article,Care.data; Citizenship; Citizen science; Crowdsourcing; Big data; National health research; Participant centric initiatives; Precision medicine; Public engagement; Recruitment,,,,
Industry 5.0-The Relevance and Implications of Bionics and Synthetic Biology,"Sachsenmeier, Peter",,,,,ENGINEERING,article,Bionics; Synthetic biology; Bio-engineering; Biological sensors; Biofuels; Bio weapons; Virtual evolution; Protocells; Xeno cells; Economic significance; Industry 5.0; Germany; China,,,,
Big Data - What is it and why it matters,"Tattersall, Andy",,,,,HEALTH INFORMATION AND LIBRARIES JOURNAL,article,librarianship; health science; libraries; health care; research and development; social media,,,,
"Social media, big data, and mental health: current advances and ethical implications","Conway, Mike; O'Connor, Daniel",,,,,CURRENT OPINION IN PSYCHOLOGY,article,,,,,
Big Data Surveillance and the Body-subject,"Ball, Kirstie; Di Domenico, MariaLaura; Nunan, Daniel",,,,,BODY & SOCIETY,article,big data; Levinas; Merleau-Ponty; normativity; proximity; subjectivity; surveillance,,,,
"Rethinking assessment in a digital age: opportunities, challenges and risks","Timmis, Sue; Broadfoot, Patricia; Sutherland, Rosamund; Oldfield, Alison",,,,,BRITISH EDUCATIONAL RESEARCH JOURNAL,article,formative; summative; e-assessment; collaboration; learning analytics; ethics; inclusion; digital literacies,,,,
The Ethics of Computing: A Survey of the Computing-Oriented Literature,"Stahl, Bernd Carsten; Timmermans, Job; Mittelstadt, Brent Daniel",,,,,ACM COMPUTING SURVEYS,article,Human Factors; Legal Aspects; Management; Computer ethics; information ethics; responsible research and innovation,,,,
Self-regulatory information sharing in participatory social sensing,"Pournaras, Evangelos; Nikolic, Jovan; Velasquez, Pablo; Trovati, Marcello; Bessis, Nik; Helbing, Dirk",,,,,EPJ DATA SCIENCE,article,privacy; summarization; analytics; aggregation; self-regulation; social sensing; supply-demand; reward; incentive,,,,
Artificial Intelligence: The Shylock Syndrome,"Lawrence, David R.; Palacios-Gonzalez, Cesar; Harris, John",,,,,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,article,artificial intelligence; humanity; motivation; survival; moral significance; personhood; nature,,,,
Data Safe Havens and Trust: Toward a Common Understanding of Trusted Research Platforms for Governing Secure and Ethical Health Research,"Lea, Nathan Christopher; Nicholls, Jacqueline; Dobbs, Christine; Sethi, Nayha; Cunningham, James; Ainsworth, John; Heaven, Martin; Peacock, Trevor; Peacock, Anthony; Jones, Kerina; Laurie, Graeme; Kalra, Dipak",,,,,JMIR MEDICAL INFORMATICS,article,trusted research platforms; data safe havens; trusted researchers; legislative and regulatory compliance; public engagement; public involvement; clinical research support; health record linkage supported research; genomics research support,,,,
The Ethics of Big Data: Current and Foreseeable Issues in Biomedical Contexts,"Mittelstadt, Brent Daniel; Floridi, Luciano",,,,,SCIENCE AND ENGINEERING ETHICS,article,Ethics; Big data; Bioethics; Information ethics; Medical ethics; Ethical foresight,,,,
Embracing the Complexities of 'Big Data' in Archaeology: the Case of the English Landscape and Identities Project,"Cooper, Anwen; Green, Chris",,,,,JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,article,Archaeological 'big data'; GIS; Landscape archaeology; Grey literature,,,,
Knowledge-light adaptation approaches in case-based reasoning for radiotherapy treatment planning,"Petrovic, Sanja; Khussainova, Gulmira; Jagannathan, Rupa",,,,,ARTIFICIAL INTELLIGENCE IN MEDICINE,article,Case-based reasoning; Adaptation-guided retrieval; Machine-learning tools; Radiotherapy treatment planning,,,,
"Space, the Final Frontier: How Good are Agent-Based Models at Simulating Individuals and Space in Cities?","Heppenstall, Alison; Malleson, Nick; Crooks, Andrew",,,,,SYSTEMS,article,agent-based modeling; cities; simulation; big data; space; retail; crime,,,,
Who Owns the Data? Open Data for Healthcare,"Kostkova, Patty; Brewer, Helen; de Lusignan, Simon; Fottrell, Edward; Goldacre, Ben; Hart, Graham; Koczan, Phil; Knight, Peter; Marsolier, Corinne; McKendry, Rachel A.; Ross, Emma; Sasse, Angela; Sullivan, Ralph; Chaytor, Sarah; Stevenson, Olivia; Velho, Raquel; Tooke, John",,,,,FRONTIERS IN PUBLIC HEALTH,article,open data; data ownership; healthcare EPR; privacy; data policy,,,,
Deformable models direct supervised guidance: A novel paradigm for automatic image segmentation,"Bova, Nicola; Gal, Viktor; Ibanez, Oscar; Cordon, Oscar",,,,,NEUROCOMPUTING,article,Image segmentation; Deformable models; Level set; Machine learning; Optimization; Direct guidance,,,,
Precision medicine in the age of big data: The present and future role of large-scale unbiased sequencing in drug discovery and development,"Vicini, P.; Fields, O.; Lai, E.; Litwack, E. D.; Martin, A-M; Morgan, T. M.; Pacanowski, M. A.; Papaluca, M.; Perez, O. D.; Ringel, M. S.; Robson, M.; Sakul, H.; Vockley, J.; Zaks, T.; Dolsten, M.; Sogaard, M.",,,,,CLINICAL PHARMACOLOGY & THERAPEUTICS,article,,,,,
"Big data, organizational learning, and sensemaking: Theorizing interpretive challenges under conditions of dynamic complexity","Calvard, Thomas Stephen",,,,,MANAGEMENT LEARNING,article,Big data; complexity; learning; organizing; reflexivity; sensemaking,,,,
Big data or bust: realizing the microbial genomics revolution,"Raza, Sobia; Luheshi, Leila",,,,,MICROBIAL GENOMICS,article,data sharing; genomic data; pathogen genomics,,,,
Machine learning based Botnet Identification Traffic,"Azab, Ahmad; Alazab, Mamoun; Aiash, Mahdi",,,,,2016 IEEE TRUSTCOM/BIGDATASE/ISPA,article,Cyber security; Malware; Botnet; Network Security; Classification,,,,
Network Structural Optimization Based on Swarm Intelligence for Highlevel Classification,"Carneiro, Murillo G.; Zhao, Liang; Cheng, Ran; Jin, Yaochu",,,,,2016 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),article,,,,,
Data Driven Wave of Certainty-a question of ethical sustainability,"Gill, Karamjit S.",,,,,IFAC PAPERSONLINE,article,artificial intelligence; big data; existential risk; ethics; judgement; dualism; symbiosis,,,,
Information Security and Digital Forensics in the world of Cyber Physical Systems,"Jones, Andrew; Vidalis, Stilianos; Abouzakhar, Nasser",,,,,2016 ELEVENTH INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION MANAGEMENT (ICDIM 2016),article,Digital Forensics; InformationSecurity; Cyber Physical Systems; Big Data,,,,
Deploying Visual Analytics Through a Multi-cloud Service Store with Encrypted Big Data,"Shackleton, Mark; El-Moussa, Fadi; Rowlingson, Robert; Healing, Alex; Crowther, John; Daniel, Joshua; Dimitrakos, Theo; Sajjad, Ali",,,,,ON THE MOVE TO MEANINGFUL INTERNET SYSTEMS: OTM 2016 CONFERENCES,article,Visual analytics; Cyber security; Encryption; Trust; Big data; Cloud; Service store,,,,
Trust-Driven and PSO-SFLA based job scheduling algorithm on Cloud,"Xie, Xiaolan; Liu, Ruikun; Cheng, Xiaochun; Hu, Xin; Ni, Jinsheng",,,,,INTELLIGENT AUTOMATION AND SOFT COMPUTING,article,Cloud service; job scheduling; trust mechanism in Cloud; Particle Swarm Optimization (PSO); Shuffled Frog Leaping Algorithm (SFLA),,,,
Mining routinely collected acute data to reveal non-linear relationships between nurse staffing levels and outcomes,"Leary, Alison; Cook, Rob; Jones, Sarahjane; Smith, Judith; Gough, Malcolm; Maxwell, Elaine; Punshon, Geoffrey; Radford, Mark",,,,,BMJ OPEN,article,,,,,
Auditing for Transparency in Content Personalization Systems,"Mittelstadt, Brent",,,,,INTERNATIONAL JOURNAL OF COMMUNICATION,article,algorithms; transparency; information ethics; automation; politics; ethics; personalization; recommendation systems; bots,,,,
"Converging Future Internet, ""Things"", and Big Data: A Specification Following NovaGenesis Model","Alberti, Antonio M.; dos Reis, Eduardo S.; Righi, Rodrigo da R.; Munoz, Victor M.; Chang, Victor",,,,,IOTBD: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INTERNET OF THINGS AND BIG DATA,article,Internet of Things; Big Data; Cloud Computing; Future Internet; NovaGenesis; FIWARE; Spark,,,,
Initial 2016 HOLACloud Roadmap,"Jeffery, Keith G.; Schubert, Lutz",,,,,2ND INTERNATIONAL CONFERENCE ON CLOUD FORWARD: FROM DISTRIBUTED TO COMPLETE COMPUTING,article,complete computing; systems development environment; placement; locality; non-functional requirements; big data; edge; fog; elasticity; environmental,,,,
"Ethical Dimensions of Dynamic Consent in Data-Intense Biomedical Research-Paradigm Shift, or Red Herring?","Schmietow, Bettina",,,,,ETHICS AND GOVERNANCE OF BIOMEDICAL RESEARCH: THEORY AND PRACTICE,article,,,,,
Rainfall Prediction: A Deep Learning Approach,"Hernandez, Emilcy; Sanchez-Anguix, Victor; Julian, Vicente; Palanca, Javier; Duque, Nestor",,,,,HYBRID ARTIFICIAL INTELLIGENT SYSTEMS,article,Artificial neural networks; Deep learning; Meteorological data; Rainfall prediction,,,,
Towards Ethical Robots: Revisiting Braitenberg's Vehicles,"Headleand, Christopher J.; Teahan, William; Ap Cenydd, Llyr",,,,,PROCEEDINGS OF THE 2016 SAI COMPUTING CONFERENCE (SAI),article,Simulated Ethics; Braitenberg Vehicles,,,,
Learning to Trust the Crowd: Validating 'Crowd' Sources for Improved Situational Awareness in Disaster Response,"Howard, Colby; Jones, David; Reece, Steven; Waldock, Antony",,,,,"HUMANITARIAN TECHNOLOGY: SCIENCE, SYSTEMS AND GLOBAL IMPACT 2016, HUMTECH2016",article,crowd sourcing; provenance; machine learning; disaster response; inter-agency collaboration,,,,
Partially Synthesised Dataset to Improve Prediction Accuracy,"Aljaaf, Ahmed J.; Al-Jumeily, Dhiya; Hussain, Abir J.; Fergus, Paul; Al-Jumaily, Mohammed; Hamdan, Hani",,,,,"INTELLIGENT COMPUTING THEORIES AND APPLICATION, ICIC 2016, PT I",article,Partially synthesised data; Prediction; Heart diseases; Machine learning; Rule-based method,,,,
Horse Stress Analysis Using Biomechanical Modelling and Machine Learning Approach,"AlZubi, Hamzah S.; Al-Nuaimy, Waleed; Young, Iain S.",,,,,"2016 13TH INTERNATIONAL MULTI-CONFERENCE ON SYSTEMS, SIGNALS & DEVICES (SSD)",article,Horse; Stress; Biomechanical model; Horse Transport,,,,
The Need for Knowledge Extraction: Understanding Harmful Gambling Behavior with Neural Networks,"Percy, Chris; Garcez, Artur S. d'Avila; Dragicevic, Simo; Franca, Manoel V. M.; Slabaugh, Greg; Weyde, Tillman",,,,,ECAI 2016: 22ND EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE,article,Neural Networks; Knowledge Extraction; Gambling; Problem Gambling,,,,
Mining Ethos in Political Debate,"Duthie, Rory; Budzynska, Katarzyna; Reed, Chris",,,,,COMPUTATIONAL MODELS OF ARGUMENT,article,Character of speakers; Ethos attack; Ethos support; Natural Language Processing; Parliamentary debates; Sentiment analysis,,,,
Generations of interdisciplinarity in bioinformatics,"Bartlett, Andrew; Lewis, Jamie; Williams, Matthew L.",,,,,NEW GENETICS AND SOCIETY,article,bioinformatics; interdisciplinarity; big data; scientific careers; collaboration,,,,
An investigation of the delivery of health-related accessible information for adults with learning disabilities,"Mander, Clare",,,,,TIZARD LEARNING DISABILITY REVIEW,article,Communication; Learning disabilities; Conversation analysis; Intellectual disability; Accessible information,,,,
An appreciative inquiry into the first export order,"Crick, Dave; Crick, James",,,,,QUALITATIVE MARKET RESEARCH,article,Marketing; Appreciative inquiry; Export; Internationalisation,,,,
Collaborative Crowdsourcing for the Diagnosis of Rare Genetic Syndromes: The DYSCERNE Experience,"Douzgou, Sofia; Pollalis, Yiannis A.; Vozikis, Athanassios; Patrinos, George P.; Clayton-Smith, Jill",,,,,PUBLIC HEALTH GENOMICS,article,Genetic services; Access; Community genetic services; European Commission; Genetic disorders; Rare diseases,,,,
Validating an insider threat detection system: A real scenario perspective,"Agrafiotis, Ioannis; Erola, Arnau; Happa, Jassim; Goldsmith, Michael; Creese, Sadie",,,,,2016 IEEE SYMPOSIUM ON SECURITY AND PRIVACY WORKSHOPS (SPW 2016),article,Insider threat; anomaly detection; real world case study; Machine learning,,,,
Analytical Metric Weight Generation for Multi-Domain Trust in Autonomous Underwater MANETs,"Bolster, Andrew; Marshall, Alan",,,,,2016 IEEE THIRD UNDERWATER COMMUNICATIONS AND NETWORKING CONFERENCE (UCOMMS),article,,,,,
Don't Lose Sight of the Forest Why the Big Picture of Social Intelligence is Essential,"Norling, Emma",,,,,AAMAS'16: PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS & MULTIAGENT SYSTEMS,article,social intelligence; human behaviour modelling,,,,
Trust in numbers? Digital Education Governance and the inspection process,"Ozga, Jenny",,,,,EUROPEAN EDUCATIONAL RESEARCH JOURNAL,article,Governance; numbers; inspection; trust; data,,,,
Predicting online gambling self-exclusion: an analysis of the performance of supervised machine learning models,"Percy, Christian; Franca, Manoel; Dragicevic, Simo; Garcez, Artur d'Avila",,,,,INTERNATIONAL GAMBLING STUDIES,article,Responsible gambling; gambling self-exclusion; machine learning; supervised learning algorithms; problem gambling; Internet gambling; three-tier model,,,,
A Disaster Response System based on Human-Agent Collectives,"Ramchurn, Sarvapali D.; Trung Dong Huynh; Wu, Feng; Ikuno, Yukki; Flann, Jack; Moreau, Luc; Fischer, Joel E.; Jiang, Wenchao; Rodden, Tom; Simpson, Edwin; Reece, Steven; Roberts, Stephen; Jennings, Nicholas R.",,,,,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,article,,,,,
Appreciating formal and informal knowledge transfer practices within creative festival organizations,"Stadler, Raphaela; Fullagar, Simone",,,,,JOURNAL OF KNOWLEDGE MANAGEMENT,article,Appreciative inquiry; Ethnography; Social practice theory; Creative festival organizations; Knowledge transfer practices; Not-for-profit organizations,,,,
Synthetic biology routes to bio-artificial intelligence,"Nesbeth, Darren N.; Zaikin, Alexey; Saka, Yasushi; Romano, M. Carmen; Giuraniuc, Claudiu V.; Kanakov, Oleg; Laptyeva, Tetyana",,,,,SYNTHETIC BIOLOGY-BOOK,article,,,,,
Autonomy is the Key: From Smart Towards Intelligent Textiles,"Ojuroye, Olivia; Beeby, Steve; Torah, Russel; Wilde, Adriana",,,,,UBICOMP'16 ADJUNCT: PROCEEDINGS OF THE 2016 ACM INTERNATIONAL JOINT CONFERENCE ON PERVASIVE AND UBIQUITOUS COMPUTING,article,Smart textiles; e-textiles; electronic textiles; artificial intelligence; autonomous systems; ethics,,,,
Application of reinforcement learning for security enhancement in cognitive radio networks,"Ling, Mee Hong; Yau, Kok-Lim Alvin; Qadir, Junaid; Poh, Geong Sen; Ni, Qiang",,,,,APPLIED SOFT COMPUTING,article,Reinforcement learning; Trust; Reputation; Security; Cognitive radio networks,,,,
ISTS: Implicit social trust and sentiment based approach to recommender systems,"Alahmadi, Dimah H.; Zeng, Xiao-Jun",,,,,EXPERT SYSTEMS WITH APPLICATIONS,article,Recommender systems; Machine learning; Trust; Sentiment analysis; Microblogging,,,,
Big Data: the challenge for small research groups in the era of cancer genomics,"Noor, Aisyah Mohd; Holmberg, Lars; Gillett, Cheryl; Grigoriadis, Anita",,,,,BRITISH JOURNAL OF CANCER,article,cancer research; database management systems; biobanking; genomics; ontology management; data ethics,,,,
The use of systems biology and immunological big data to guide vaccine development,"Blohmke, Christoph J.; O'Connor, Daniel; Pollard, Andrew J.",,,,,GENOME MEDICINE,article,,,,,
What's in a Name? Probabilistic Inference of Religious Community from South Asian Names,"Susewind, Raphael",,,,,FIELD METHODS,article,names; religion; South Asia; linguistics; big data,,,,
Exploiting big data for critical care research,"Docherty, Annemarie B.; Lone, Nazir I.",,,,,CURRENT OPINION IN CRITICAL CARE,article,big data; data linkage; epidemiology; information governance; precision medicine,,,,
Debating Big Data,"Punathambekar, Aswin; Kavada, Anastasia",,,,,MEDIA CULTURE & SOCIETY,article,Big Data; Knowledge; Context; Ethics; Access,,,,
The care.data consensus? A qualitative analysis of opinions expressed on Twitter,"Hays, Rebecca; Daker-White, Gavin",,,,,BMC PUBLIC HEALTH,article,,,,,
A fourth law of robotics? Copyright and the law and ethics of machine co-production,"Schafer, Burkhard; Komuves, David; Zatarain, Jesus Manuel Niebla; Diver, Laurence",,,,,ARTIFICIAL INTELLIGENCE AND LAW,article,Robotics; Copyright law; Bing,,,,
"The tragedy of the master: automation, vulnerability, and distance","Coeckelbergh, Mark",,,,,ETHICS AND INFORMATION TECHNOLOGY,article,Automation; Artificial intelligence; Robotics; AI; Ethics of AI; Philosophy of AI; Master-slave dialectic,,,,
"BIG DATA: NEW SCIENCE, NEW CHALLENGES, NEW DIALOGICAL OPPORTUNITIES","Fuller, Michael",,,,,ZYGON,article,analysis; big data; data scientist; ethics; hermeneutics; interpretation,,,,
"Facebook as a Research Tool for the Social Sciences Opportunities, Challenges, Ethical Considerations, and Practical Guidelines","Kosinski, Michal; Matz, Sandra C.; Gosling, Samuel D.; Popov, Vesselin; Stillwell, David",,,,,AMERICAN PSYCHOLOGIST,article,Facebook; research design; ethics; big data; myPersonality; snowball sampling,,,,
